250	300
251	301
252	302
253	303
254	304
255	305
256	306
257	307
258	308
259	309
260	310
261	311
262	312
263	313
264	314
265	315
266	316
267	315
268	314
269	313
270	312
271	311
272	310
273	309
274	308
275	307
276	306
277	305
278	304
279	303
280	302
281	301
282	300
283	299
284	298
285	297
286	296
287	295
288	294
289	293
290	292
291	291
292	290
293	289
294	288
295	287
296	286
297	285
298	284
299	283
300	282
301	281
302	280
303	279
304	278
305	277
306	276
307	275
308	274
309	273
310	272
311	271
312	270
313	269
314	268
315	267
316	266
317	265
318	264
319	263
320	262
321	263
322	264
323	265
324	266
325	267
326	268
327	269
328	270
329	271
330	272
329	273
328	274
327	275
326	276
325	277
324	278
323	279
322	280
321	281
320	282
319	283
318	284
317	285
316	286
315	287
314	288
313	289
312	290
311	291
